序号;幼儿园名称;办学地址;联系电话;备注
1;源昌蓝星双语幼儿园;思明区湖滨东路208号;5066156;
2;康桥双语幼儿园;思明区凤屿路113号;5889456;
3;蓝湾一禾幼儿园;思明区体育路90号之一;5058331;
4;鸿图嘉裕英语幼儿园;思明区思明南路285号;2021577;
5;禾祥幼儿园;思明区禾祥西二路35号1-2层;2285988;
6;馨乐园幼儿园;思明区会展41号;5920800;
7;禾祥新景赋来尔幼儿园;思明区后滨路6号之一;2299009;市级示范性幼儿园
8;领秀城华顿幼儿园;思明区文屏路37号;5835300;
9;塔埔大地幼儿园;思明区塔埔西里205号;5984118;
10;万芳大地美语幼儿园;思明区厦禾路875号之五金瑞园;5817388;
11;爱绿幼儿园;思明区文屏一里24号;5858180;
12;迪斯耐幼儿园;思明区前埔五里128号;5916700;
13;金域蓝湾嘉裕英语幼儿园;思明区洪莲东二里6号;5963565;
14;翡翠城小金星幼儿园;思明区东浦路68号;8265386;
15;小孔明幼儿园;思明区洪莲西里49号;5936361;
16;槟榔幼儿园;思明区槟榔西里55号;5361362;
17;湖明艺术幼儿园;思明区湖明路60号;5110862;
18;红黄蓝幼儿园;思明区西浦路47号;5202177;
19;爱幼思幼儿园;思明区侨岳里75号;5336663;
20;七星幼儿园;七星西路146号;7666678;
21;华夏未来幼儿园;龙山中路6号;5227725;
22;蒙世学堂幼儿园;思明区祥滨路79号;2208133;
23;侨福城小金星幼儿园;思明区莲前东路侨福城侨文里32号;5963289;部分参与划片普惠（市示范性幼儿园）
24;嘉裕阳光幼儿园;思明区汇文路59号;5825173;部分参与划片普惠（一级民办园）
25;汇佳幼儿园;思明区白鹤山路42号;2058130;一级民办园，参与分级收费管理
26;树人幼儿园;思明区万寿路8号三楼;2037718;一级民办园，参与分级收费管理
27;龙山小金星幼儿园;思明区莲前西路359--361号;5939318;一级民办园，参与分级收费管理
28;晨晖幼儿园;思明区洪文村万科金域蓝湾小区旁;5027989;一级民办园，参与分级收费管理
29;东浦嘉裕英语幼儿园;思明区东浦一里55号;5199718;一级民办园，参与分级收费管理
